grow_type,geography,level,HHI_Canopy,HHI_MaxSqFt
Indoor,CA,Overall,37.82605954697233,25.17017367297809
Indoor,CA,Parent Company,43.567247644313326,30.35603265194831
Indoor,,Overall,186.628516860427,161.11212225616347
Indoor,,Overall,10000.0,10000.0
Indoor,,Overall,4321.398486504549,5214.84375
Indoor,,Overall,1356.32295787038,1024.047373149671
Indoor,,Overall,10000.0,10000.0
Indoor,,Overall,3449.112832075287,3662.551440329218
Indoor,,Overall,1833.8347713834169,1341.496598639456
Indoor,,Overall,5000.11701162809,5555.555555555555
Indoor,,Overall,5206.946436073347,4616.086382266038
Indoor,,Overall,67.4088080876549,52.04475203841612
Indoor,,Overall,3673.5255107978282,2695.1172625913114
Indoor,,Overall,3907.843475820208,3139.9023269175523
Indoor,,Overall,10000.0,10000.0
Indoor,,Overall,4514.062812084172,3850.308641975309
Indoor,,Overall,2402.665563115283,2179.5565170362356
Indoor,,Overall,870.3507984076962,863.5273324075242
Indoor,,Overall,628.8994773280023,236.33148795926672
Indoor,,Overall,171.93186624847172,154.33869318371302
Indoor,,Overall,2760.878870364526,2851.5625
Indoor,,Overall,146.16157843080353,138.81269634792093
Indoor,,Overall,3451.207442412301,2800.0
Indoor,,Overall,1708.447318797945,1400.0
Indoor,,Overall,3777.8346122573803,3662.551440329218
Indoor,,Overall,10000.0,10000.0
Indoor,,Overall,5801.713979155298,5000.0
Indoor,,Overall,3988.379370230608,3398.5260770975055
Indoor,,Overall,2225.3378278243135,1836.7346938775509
Indoor,,Overall,1377.5965930794534,1164.2573696145125
Indoor,,Overall,7849.636884722625,6835.705083169671
Indoor,,Overall,986.5989975740138,716.6906061476587
Indoor,,Overall,3064.8874262001486,2754.3904958677685
Indoor,,Overall,3333.345216853446,3333.3333333333326
Indoor,,Overall,3689.551029293789,2929.9742114659784
Indoor,,Overall,10000.0,10000.0
Indoor,,Parent Company,186.628516860427,161.11212225616347
Indoor,,Parent Company,10000.0,10000.0
Indoor,,Parent Company,4321.398486504549,5214.84375
Indoor,,Parent Company,1356.32295787038,1024.047373149671
Indoor,,Parent Company,10000.0,10000.0
Indoor,,Parent Company,3449.112832075287,3662.551440329218
Indoor,,Parent Company,1233.768155561516,1033.1065759637188
Indoor,,Parent Company,5000.11701162809,5555.555555555555
Indoor,,Parent Company,5206.946436073347,4616.086382266038
Indoor,,Parent Company,80.04213518347778,63.74895500130725
Indoor,,Parent Company,3855.704517239427,3464.0522875817
Indoor,,Parent Company,6496.81824575737,4403.906923297903
Indoor,,Parent Company,10000.0,10000.0
Indoor,,Parent Company,4716.022982866018,3989.197530864198
Indoor,,Parent Company,2402.665563115283,2179.5565170362356
Indoor,,Parent Company,870.3507984076962,863.5273324075242
Indoor,,Parent Company,601.2232626560459,229.48028470067743
Indoor,,Parent Company,196.2872816408024,167.79039778091715
Indoor,,Parent Company,2760.878870364526,2851.5625
Indoor,,Parent Company,185.13650638181923,170.5801006955136
Indoor,,Parent Company,3451.207442412301,2800.0
Indoor,,Parent Company,1708.4473187979447,1400.0
Indoor,,Parent Company,3777.8346122573803,3662.551440329218
Indoor,,Parent Company,10000.0,10000.0
Indoor,,Parent Company,5801.713979155298,5000.0
Indoor,,Parent Company,5505.814258309582,4589.002267573696
Indoor,,Parent Company,2225.3378278243135,1836.7346938775509
Indoor,,Parent Company,1377.5965930794532,1164.2573696145125
Indoor,,Parent Company,7849.636884722625,6835.705083169671
Indoor,,Parent Company,1104.3612250621286,808.6182131571387
Indoor,,Parent Company,3064.8874262001486,2754.3904958677685
Indoor,,Parent Company,3333.345216853446,3333.3333333333326
Indoor,,Parent Company,3689.551029293789,2929.9742114659784
Indoor,,Parent Company,10000.0,10000.0
Mixed_Light,CA,Overall,63.27156619859218,62.768558949344936
Mixed_Light,CA,Parent Company,140.37534803314566,131.56417633642815
Mixed_Light,,Overall,10000.0,10000.0
Mixed_Light,,Overall,698.6260459025948,693.6569220818052
Mixed_Light,,Overall,10000.0,10000.0
Mixed_Light,,Overall,0.0,10000.0
Mixed_Light,,Overall,10000.0,10000.0
Mixed_Light,,Overall,77.90728813883717,79.30108551850594
Mixed_Light,,Overall,4904.470459784803,4872.169466764061
Mixed_Light,,Overall,1468.4815179618004,1374.4709289374025
Mixed_Light,,Overall,10000.0,10000.0
Mixed_Light,,Overall,972.2791981167135,929.5280612244899
Mixed_Light,,Overall,10000.0,10000.0
Mixed_Light,,Overall,69.11682512243182,67.06261541573305
Mixed_Light,,Overall,922.1781073937407,940.8667678576354
Mixed_Light,,Overall,255.97173387227775,257.83747545660174
Mixed_Light,,Overall,1669.5873306457136,1505.6480380499406
Mixed_Light,,Overall,10000.0,10000.0
Mixed_Light,,Overall,6491.122176952869,6073.765615704939
Mixed_Light,,Overall,3676.5698481854597,3670.5664506354688
Mixed_Light,,Overall,3597.0398162643587,3748.6650053399785
Mixed_Light,,Overall,1260.6958745696286,1311.1550808285647
Mixed_Light,,Overall,2452.2334521778607,2466.510781312845
Mixed_Light,,Overall,7082.641718223429,5000.0
Mixed_Light,,Overall,4148.817845204656,4135.776759683466
Mixed_Light,,Overall,77.44040004421224,75.86776908469878
Mixed_Light,,Overall,7235.502647343999,7043.805428648214
Mixed_Light,,Overall,1530.9045525975423,1458.7704779157816
Mixed_Light,,Parent Company,10000.0,10000.0
Mixed_Light,,Parent Company,698.6260459025947,693.6569220818052
Mixed_Light,,Parent Company,10000.0,10000.0
Mixed_Light,,Parent Company,0.0,10000.0
Mixed_Light,,Parent Company,10000.0,10000.0
Mixed_Light,,Parent Company,104.78180387526643,107.0265377905203
Mixed_Light,,Parent Company,9608.940895067153,9474.068663257854
Mixed_Light,,Parent Company,1468.4815179618004,1374.4709289374025
Mixed_Light,,Parent Company,10000.0,10000.0
Mixed_Light,,Parent Company,1141.6257730079742,1085.4237528344672
Mixed_Light,,Parent Company,10000.0,10000.0
Mixed_Light,,Parent Company,273.94892521609773,288.76589552101586
Mixed_Light,,Parent Company,922.1523737380575,940.9788933713376
Mixed_Light,,Parent Company,264.1026142045313,265.7948082382266
Mixed_Light,,Parent Company,1669.5873306457136,1505.6480380499406
Mixed_Light,,Parent Company,10000.0,10000.0
Mixed_Light,,Parent Company,6491.122176952869,6073.765615704939
Mixed_Light,,Parent Company,3676.5698481854597,3670.5664506354688
