grow_type,geography,level,Total_Canopy,HHI_Canopy,Total_MaxSqFt,HHI_MaxSqFt
Indoor,CA,Overall,6419410.085,37.82605954697233,9558040.0,25.17017367297809
Indoor,CA,Parent Company,6419410.085,43.567247644313326,9558040.0,30.35603265194831
Indoor,,Overall,885606.195,186.628516860427,1426860.0,161.11212225616347
Indoor,,Overall,455.0,10000.0,500.0,10000.0
Indoor,,Overall,21224.0,4321.398486504549,32000.0,5214.84375
Indoor,,Overall,271102.8,1356.32295787038,397560.0,1024.047373149671
Indoor,,Overall,1671.0,10000.0,5000.0,10000.0
Indoor,,Overall,40400.0,3449.112832075287,54000.0,3662.551440329218
Indoor,,Overall,81891.95,1833.8347713834169,105000.0,1341.496598639456
Indoor,,Overall,5788.0,5000.11701162809,15000.0,5555.555555555555
Indoor,,Overall,103835.0,5206.946436073347,135500.0,4616.086382266038
Indoor,,Overall,1622750.22,67.4088080876549,2625500.0,52.04475203841612
Indoor,,Overall,18683.0,3673.5255107978282,25500.0,2695.1172625913114
Indoor,,Overall,40392.25,3907.843475820208,59000.0,3139.9023269175523
Indoor,,Overall,4573.84,10000.0,5000.0,10000.0
Indoor,,Overall,289047.0,4514.062812084172,360000.0,3850.308641975309
Indoor,,Overall,15061.0,2402.665563115283,21500.0,2179.5565170362356
Indoor,,Overall,110757.6,870.3507984076962,178000.0,863.5273324075242
Indoor,,Overall,719172.5,628.8994773280023,929560.0,236.33148795926672
Indoor,,Overall,587681.08,171.93186624847172,944500.0,154.33869318371302
Indoor,,Overall,37512.0,2760.878870364526,64000.0,2851.5625
Indoor,,Overall,908313.9,146.16157843080353,1273000.0,138.81269634792093
Indoor,,Overall,14270.0,3451.207442412301,25000.0,2800.0
Indoor,,Overall,24212.0,1708.447318797945,50000.0,1400.0
Indoor,,Overall,41405.0,3777.8346122573803,54000.0,3662.551440329218
Indoor,,Overall,10000.0,10000.0,10000.0,10000.0
Indoor,,Overall,3736.0,5801.713979155298,20000.0,5000.0
Indoor,,Overall,60050.0,3988.379370230608,84000.0,3398.5260770975055
Indoor,,Overall,23396.75,2225.3378278243135,35000.0,1836.7346938775509
Indoor,,Overall,109243.0,1377.5965930794534,168000.0,1164.2573696145125
Indoor,,Overall,51208.0,7849.636884722625,54060.0,6835.705083169671
Indoor,,Overall,92095.0,986.5989975740138,147500.0,716.6906061476587
Indoor,,Overall,142886.0,3064.8874262001486,176000.0,2754.3904958677685
Indoor,,Overall,1498.0,3333.345216853446,1500.0,3333.3333333333326
Indoor,,Overall,74524.0,3689.551029293789,71000.0,2929.9742114659784
Indoor,,Overall,4968.0,10000.0,5000.0,10000.0
Indoor,,Parent Company,885606.195,186.628516860427,1426860.0,161.11212225616347
Indoor,,Parent Company,455.0,10000.0,500.0,10000.0
Indoor,,Parent Company,21224.0,4321.398486504549,32000.0,5214.84375
Indoor,,Parent Company,271102.8,1356.32295787038,397560.0,1024.047373149671
Indoor,,Parent Company,1671.0,10000.0,5000.0,10000.0
Indoor,,Parent Company,40400.0,3449.112832075287,54000.0,3662.551440329218
Indoor,,Parent Company,81891.95,1233.768155561516,105000.0,1033.1065759637188
Indoor,,Parent Company,5788.0,5000.11701162809,15000.0,5555.555555555555
Indoor,,Parent Company,103835.0,5206.946436073347,135500.0,4616.086382266038
Indoor,,Parent Company,1622750.22,80.04213518347778,2625500.0,63.74895500130725
Indoor,,Parent Company,18683.0,3855.704517239427,25500.0,3464.0522875817
Indoor,,Parent Company,40392.25,6496.81824575737,59000.0,4403.906923297903
Indoor,,Parent Company,4573.84,10000.0,5000.0,10000.0
Indoor,,Parent Company,289047.0,4716.022982866018,360000.0,3989.197530864198
Indoor,,Parent Company,15061.0,2402.665563115283,21500.0,2179.5565170362356
Indoor,,Parent Company,110757.6,870.3507984076962,178000.0,863.5273324075242
Indoor,,Parent Company,719172.5,601.2232626560459,929560.0,229.48028470067743
Indoor,,Parent Company,587681.08,196.2872816408024,944500.0,167.79039778091715
Indoor,,Parent Company,37512.0,2760.878870364526,64000.0,2851.5625
Indoor,,Parent Company,908313.9,185.13650638181923,1273000.0,170.5801006955136
Indoor,,Parent Company,14270.0,3451.207442412301,25000.0,2800.0
Indoor,,Parent Company,24212.0,1708.4473187979447,50000.0,1400.0
Indoor,,Parent Company,41405.0,3777.8346122573803,54000.0,3662.551440329218
Indoor,,Parent Company,10000.0,10000.0,10000.0,10000.0
Indoor,,Parent Company,3736.0,5801.713979155298,20000.0,5000.0
Indoor,,Parent Company,60050.0,5505.814258309582,84000.0,4589.002267573696
Indoor,,Parent Company,23396.75,2225.3378278243135,35000.0,1836.7346938775509
Indoor,,Parent Company,109243.0,1377.5965930794532,168000.0,1164.2573696145125
Indoor,,Parent Company,51208.0,7849.636884722625,54060.0,6835.705083169671
Indoor,,Parent Company,92095.0,1104.3612250621286,147500.0,808.6182131571387
Indoor,,Parent Company,142886.0,3064.8874262001486,176000.0,2754.3904958677685
Indoor,,Parent Company,1498.0,3333.345216853446,1500.0,3333.3333333333326
Indoor,,Parent Company,74524.0,3689.551029293789,71000.0,2929.9742114659784
Indoor,,Parent Company,4968.0,10000.0,5000.0,10000.0
Mixed_Light,CA,Overall,10102424.34,63.27156619859218,11565540.0,62.768558949344936
Mixed_Light,CA,Parent Company,10102424.34,140.37534803314566,11565540.0,131.56417633642815
Mixed_Light,,Overall,534.0,10000.0,2500.0,10000.0
Mixed_Light,,Overall,259474.0,698.6260459025948,343560.0,693.6569220818052
Mixed_Light,,Overall,9600.0,10000.0,22000.0,10000.0
Mixed_Light,,Overall,0.0,0.0,43560.0,10000.0
Mixed_Light,,Overall,96000.0,10000.0,100000.0,10000.0
Mixed_Light,,Overall,2030378.0,77.90728813883717,2425360.0,79.30108551850594
Mixed_Light,,Overall,357125.0,4904.470459784803,370000.0,4872.169466764061
Mixed_Light,,Overall,103543.0,1468.4815179618004,134000.0,1374.4709289374025
Mixed_Light,,Overall,26535.0,10000.0,30000.0,10000.0
Mixed_Light,,Overall,152674.8,972.2791981167135,168000.0,929.5280612244899
Mixed_Light,,Overall,9384.0,10000.0,22000.0,10000.0
Mixed_Light,,Overall,1348808.2,69.11682512243182,1542500.0,67.06261541573305
Mixed_Light,,Overall,1658737.5,922.1781073937407,1837060.0,940.8667678576354
Mixed_Light,,Overall,339288.5,255.97173387227775,354500.0,257.83747545660174
Mixed_Light,,Overall,187662.0,1669.5873306457136,232000.0,1505.6480380499406
Mixed_Light,,Overall,123939.0,10000.0,150000.0,10000.0
Mixed_Light,,Overall,76140.0,6491.122176952869,82000.0,6073.765615704939
Mixed_Light,,Overall,53666.8,3676.5698481854597,54500.0,3670.5664506354688
Mixed_Light,,Overall,91450.0,3597.0398162643587,106000.0,3748.6650053399785
Mixed_Light,,Overall,1174364.0,1260.6958745696286,1396000.0,1311.1550808285647
Mixed_Light,,Overall,362463.0,2452.2334521778607,383000.0,2466.510781312845
Mixed_Light,,Overall,2820.0,7082.641718223429,5000.0,5000.0
Mixed_Light,,Overall,47404.0,4148.817845204656,49000.0,4135.776759683466
Mixed_Light,,Overall,1344323.54,77.44040004421224,1452500.0,75.86776908469878
Mixed_Light,,Overall,118982.0,7235.502647343999,122000.0,7043.805428648214
Mixed_Light,,Overall,127128.0,1530.9045525975423,138500.0,1458.7704779157816
Mixed_Light,,Parent Company,534.0,10000.0,2500.0,10000.0
Mixed_Light,,Parent Company,259474.0,698.6260459025947,343560.0,693.6569220818052
Mixed_Light,,Parent Company,9600.0,10000.0,22000.0,10000.0
Mixed_Light,,Parent Company,0.0,0.0,43560.0,10000.0
Mixed_Light,,Parent Company,96000.0,10000.0,100000.0,10000.0
Mixed_Light,,Parent Company,2030378.0,104.78180387526643,2425360.0,107.0265377905203
Mixed_Light,,Parent Company,357125.0,9608.940895067153,370000.0,9474.068663257854
Mixed_Light,,Parent Company,103543.0,1468.4815179618004,134000.0,1374.4709289374025
Mixed_Light,,Parent Company,26535.0,10000.0,30000.0,10000.0
Mixed_Light,,Parent Company,152674.8,1141.6257730079742,168000.0,1085.4237528344672
Mixed_Light,,Parent Company,9384.0,10000.0,22000.0,10000.0
Mixed_Light,,Parent Company,1348808.2,273.94892521609773,1542500.0,288.76589552101586
Mixed_Light,,Parent Company,1658737.5,922.1523737380575,1837060.0,940.9788933713376
Mixed_Light,,Parent Company,339288.5,264.1026142045313,354500.0,265.7948082382266
Mixed_Light,,Parent Company,187662.0,1669.5873306457136,232000.0,1505.6480380499406
Mixed_Light,,Parent Company,123939.0,10000.0,150000.0,10000.0
Mixed_Light,,Parent Company,76140.0,6491.122176952869,82000.0,6073.765615704939
Mixed_Light,,Parent Company,53666.8,3676.5698481854597,54500.0,3670.5664506354688
Mixed_Light,,Parent Company,91450.0,6346.092852503004,106000.0,6710.573157707369
Mixed_Light,,Parent Company,1174364.0,1313.8631426786142,1396000.0,1351.9182929532599
Mixed_Light,,Parent Company,362463.0,2938.5643190865344,383000.0,2915.351526017629
Mixed_Light,,Parent Company,2820.0,7082.641718223429,5000.0,5000.0
Mixed_Light,,Parent Company,47404.0,4148.817845204657,49000.0,4135.776759683466
Mixed_Light,,Parent Company,1344323.54,322.4787173361424,1452500.0,307.1741107533157
Mixed_Light,,Parent Company,118982.0,7235.502647343999,122000.0,7043.805428648214
Mixed_Light,,Parent Company,127128.0,1860.128791393397,138500.0,1792.4122561221961
Outdoor,CA,Overall,33481223.06,113.23503919178256,50199500.0,105.76802757279333
Outdoor,CA,Parent Company,33481223.060000002,141.94770515673406,50199500.0,132.59004109733004
Outdoor,,Overall,50000.0,2000.0,50000.0,2000.0
Outdoor,,Overall,1857957.0,260.85967029163936,2570200.0,237.7605384874886
Outdoor,,Overall,10000.0,10000.0,10000.0,10000.0
Outdoor,,Overall,10000.0,10000.0,10000.0,10000.0
Outdoor,,Overall,43637.0,4037.492192294404,63560.0,5191.928777177583
Outdoor,,Overall,582855.0,5670.451512894038,996280.0,4634.75516080054
Outdoor,,Overall,7712415.95,40.860368625738,13380640.0,42.813928235496846
Outdoor,,Overall,48529.0,8161.836327051823,95000.0,9002.770083102492
Outdoor,,Overall,28550.0,10000.0,30000.0,10000.0
Outdoor,,Overall,2017258.0,9901.346999155598,2120000.0,9906.105375578496
Outdoor,,Overall,5142415.0,504.0237452983613,4356560.0,211.57315787971157
Outdoor,,Overall,331500.0,363.2876749725299,353560.0,469.47633484321176
Outdoor,,Overall,1821280.81,60.420739380245465,2070000.0,58.023524469649224
Outdoor,,Overall,618522.2,2441.1872447916053,601740.0,2193.689938314285
Outdoor,,Overall,959575.5,158.1234275032238,1128480.0,181.5303168115491
Outdoor,,Overall,10000.0,10000.0,10000.0,10000.0
Outdoor,,Overall,145864.0,1165.5270976972488,257120.0,1920.2562180317987
Outdoor,,Overall,10000.0,10000.0,10000.0,10000.0
Outdoor,,Overall,10000.0,10000.0,10000.0,10000.0
Outdoor,,Overall,10000.0,10000.0,10000.0,10000.0
Outdoor,,Overall,462406.5,1404.9254262935156,752040.0,1210.3312594338902
Outdoor,,Overall,6956936.54,1283.659043258472,14818080.0,859.5710231583322
Outdoor,,Overall,10000.0,10000.0,10000.0,10000.0
Outdoor,,Overall,785561.5,820.3006630131507,1306580.0,765.6391268637414
Outdoor,,Overall,10000.0,10000.0,10000.0,10000.0
Outdoor,,Overall,10000.0,10000.0,10000.0,10000.0
Outdoor,,Overall,753680.0,355.6123387476915,870220.0,356.55017483953355
Outdoor,,Overall,1666067.06,69.60347729582018,2100680.0,92.55325014081066
Outdoor,,Overall,745944.0,5555.117718007615,1263240.0,6718.192627824019
Outdoor,,Overall,650268.0,559.410568896312,915520.0,509.22487493160014
Outdoor,,Overall,10000.0,10000.0,10000.0,10000.0
Outdoor,,Parent Company,50000.0,2000.0,50000.0,2000.0
Outdoor,,Parent Company,1857957.0,314.0539159021496,2570200.0,280.82456920012106
Outdoor,,Parent Company,10000.0,10000.0,10000.0,10000.0
Outdoor,,Parent Company,10000.0,10000.0,10000.0,10000.0
Outdoor,,Parent Company,43637.0,4037.492192294404,63560.0,5191.928777177583
Outdoor,,Parent Company,582855.0,5670.4515128940375,996280.0,4634.75516080054
Outdoor,,Parent Company,7712415.95,72.09986174326339,13380640.0,79.03982878256608
Outdoor,,Parent Company,48529.0,8161.836327051823,95000.0,9002.770083102492
Outdoor,,Parent Company,28550.0,10000.0,30000.0,10000.0
Outdoor,,Parent Company,2017258.0,9901.346999155598,2120000.0,9906.105375578496
Outdoor,,Parent Company,5142415.0,525.4872805767268,4356560.0,259.739492886065
Outdoor,,Parent Company,331500.0,417.88661165823794,353560.0,517.4745402479095
Outdoor,,Parent Company,1821280.81,221.40489818691916,2070000.0,196.12476370510396
Outdoor,,Parent Company,618522.2,3803.0114888026756,601740.0,4235.6957977270795
Outdoor,,Parent Company,959575.5,163.9317473234556,1128480.0,186.04554924514835
Outdoor,,Parent Company,10000.0,10000.0,10000.0,10000.0
Outdoor,,Parent Company,145864.0,1165.5270976972488,257120.0,1920.2562180317989
Outdoor,,Parent Company,10000.0,10000.0,10000.0,10000.0
Outdoor,,Parent Company,10000.0,10000.0,10000.0,10000.0
Outdoor,,Parent Company,10000.0,10000.0,10000.0,10000.0
Outdoor,,Parent Company,462406.5,1404.9254262935156,752040.0,1210.3312594338902
Outdoor,,Parent Company,6956936.54,1335.645359434271,14818080.0,896.3973264039812
Outdoor,,Parent Company,10000.0,10000.0,10000.0,10000.0
Outdoor,,Parent Company,785561.5,836.9149614333103,1306580.0,854.5579522309525
Outdoor,,Parent Company,10000.0,10000.0,10000.0,10000.0
Outdoor,,Parent Company,10000.0,10000.0,10000.0,10000.0
Outdoor,,Parent Company,753680.0,492.93813410551155,870220.0,478.2167360123721
Outdoor,,Parent Company,1666067.06,553.7997195031977,2100680.0,576.7067725143962
Outdoor,,Parent Company,745944.0,10000.0,1263240.0,10000.0
Outdoor,,Parent Company,650268.0,640.5427433890208,915520.0,631.6464635290417
Outdoor,,Parent Company,10000.0,10000.0,10000.0,10000.0
