retailercounty,2019,2020,2021,2022,2023,2024
ALAMEDA,1221.4380448409017,325.30123511388337,277.1797556127073,285.2190251198061,267.07018506156345,317.08599465631164
BUTTE,,,,10000.0,5171.842498800307,3536.6612289565564
CA,93.12628769088026,27.008685480308802,23.31237104039433,19.585278883521013,18.680433646166794,16.397183448197627
CALAVERAS,8890.17477528197,3213.9084424200205,2789.171786898339,2851.528990741244,2933.9894744187304,2903.931622355586
COLUSA,,10000.0,6078.227376730886,5202.356281156881,6335.492980417925,6484.689813979795
CONTRA COSTA,4043.8864405403733,2405.75200476966,1723.6284997623675,1134.232948757991,923.2419679116007,847.9785723727857
DEL NORTE,10000.0,10000.0,3377.4817845319494,3083.010058183757,2622.6960042147766,2541.5513772599393
EL DORADO,5031.1451954853355,2581.1742740058435,1578.0345959110116,1263.868082469001,1217.398669352528,1137.5329570927197
FRESNO,10000.0,5005.674641845234,3186.837644008756,2106.500690917927,2954.312843411051,1260.4237842152143
HUMBOLDT,1404.2258245473727,761.8793847605034,608.432340330513,589.6713304202849,595.7202968562054,560.9877044074403
IMPERIAL,9499.611074839882,3948.0926723689777,3119.051036112117,2134.902977012617,2949.6454920363444,2147.5031474534417
INYO,8986.903893342183,5415.3025895333585,5233.630395806295,4207.016949295573,3019.0760687751567,2361.964250945036
KERN,10000.0,3541.845530572522,2773.8768333696685,2643.827998188927,2878.729713849758,3094.564570007603
KINGS,,4743.26919857531,2239.9671811079643,2469.2460748899657,2523.16576493008,2226.387928438463
LAKE,6804.829690058916,3626.435080947287,4234.954399278285,3468.501542055699,2117.9788296119964,1530.0799877380337
LASSEN,,10000.0,10000.0,10000.0,8893.725973455907,6679.131041658357
LOS ANGELES,276.78192351394455,101.83058722502072,83.01283994631851,75.87603415899602,56.87934490510142,57.40988525615491
MADERA,,,,,,10000.0
MARIN,4842.369499521643,3903.9532735167886,4171.318454294544,4217.195227132911,4389.673189097754,4912.246986841249
MENDOCINO,1470.2240578888313,1196.0683269124577,996.9715584828148,862.089306395072,854.1499913045889,852.6063966928843
MERCED,9000.18000705181,4419.737817079894,3599.4747528610965,2902.3580770262274,2253.558909140457,2463.16388290465
MONO,4485.846806557652,4273.7962345800515,3145.302116302925,2988.12005539843,3325.1883691744047,3177.1381953097875
MONTEREY,3135.4341794478505,1347.5109658450888,1055.3362921337753,825.4795842082559,751.5939412795832,770.9873431310602
NAPA,10000.0,4183.420259972299,3278.890920588984,2341.9894709318887,1723.6880049106896,1443.9559948762005
NEVADA,7552.712423701453,6894.3226358995935,6653.609344418433,6340.558901551847,6288.527522412509,4203.784574920747
ORANGE,4215.009451229945,682.4291456940113,917.1231884029567,494.39222909385813,828.8783844899202,339.468755433303
PLACER,,10000.0,10000.0,10000.0,10000.0,10000.0
RIVERSIDE,958.1956574353882,345.36536311760347,324.71744811433643,237.58736987675346,198.25143418720836,186.7945866372278
SACRAMENTO,1346.537696725981,299.82785103666873,275.46184930916377,284.5767713655228,265.9397612291201,283.4569321981927
SAN BENITO,10000.0,10000.0,9678.74859487314,10000.0,10000.0,10000.0
SAN BERNARDINO,4097.601737427146,1023.2940374897456,749.3331085985891,794.7720432917649,707.4100319081635,665.9584524288015
SAN DIEGO,1408.745288060428,458.5597930542641,349.631573879499,249.85709905047312,231.29724055294415,224.842350536912
SAN FRANCISCO,836.5371490948936,427.02006510543833,398.27015500598463,328.90504261936854,284.44081826770736,275.7171294136716
SAN JOAQUIN,5963.238097933527,4724.801528169799,3370.9040000956993,2404.1223644944944,2137.28125930371,1508.7432371549091
SAN LUIS OBISPO,5845.708757806383,1968.5347091207168,1372.1742937178365,1273.908685737736,1320.1105572600222,1096.3866411271058
SAN MATEO,7537.685081841812,2214.087083450189,1453.5474248180244,1319.9021615062447,1126.7953336226656,1144.7662148635989
SANTA BARBARA,3953.854221735583,1079.686543068705,929.0106937853343,828.7894954989519,707.2036025200229,718.8912445379725
SANTA CLARA,1644.8162204477587,933.984141086083,857.7026591587978,947.0297855612154,1008.2540701780825,961.068342217476
SANTA CRUZ,1500.1116795059713,781.430825144201,757.5892898652569,675.8326608610255,682.1432517193496,728.4643277831603
SHASTA,3853.136806071715,1991.5999675902356,1653.7988604983875,1901.1138977695612,1814.8360312008047,1930.6542743892464
SISKIYOU,3531.6674502872766,2640.996090212246,2468.570164568895,2816.2465724770354,3032.0947797142076,2613.6662370568874
SOLANO,3352.946715740056,1145.886516903324,808.5435785826131,833.4622689099256,833.6572179843323,917.9723885131948
SONOMA,2573.491815286811,1034.3339388494908,753.7338638544417,490.4328047272923,552.5663222140739,518.130368892556
STANISLAUS,2576.9311931344405,944.6485085481303,807.1473540480424,838.019810095141,872.2227277097021,902.0819092830757
TEHAMA,,,,10000.0,8764.747778835654,5759.566855055447
TRINITY,,7045.283726695402,0.0,,10000.0,10000.0
TULARE,5566.68871858632,2564.3323529030476,1821.7740707226053,1712.9408704464772,1123.4410517433753,1174.765401775796
TUOLUMNE,10000.0,10000.0,6231.363508176717,5133.335092595921,5891.133887523891,5675.274325604163
VENTURA,2835.3718569799403,1479.4301750984223,1466.5800905463095,988.6281027248403,767.9072099204149,680.8511179440824
YOLO,4070.7141703339817,2329.393444723497,2495.3132572990967,2390.5964581746016,2780.2562107835943,3116.7448034919953
YUBA,,7071.739754970116,5287.408124120391,5142.476891744395,5148.411635417811,5004.021327487209
