retailercounty,2019,2020,2021,2022,2023,2024
ALAMEDA,1221.4380448409017,330.2939363223868,285.9768817837723,291.8564468482224,275.6384156497803,323.72179514942627
BUTTE,,,,10000.0,5171.842498800307,3536.6612289565564
CA,93.23573773668913,28.451178999312038,27.30172763262331,27.291318672738882,31.9383646134709,43.5708837540416
CALAVERAS,8890.17477528197,3213.9084424200205,2789.17178689834,2851.528990741244,2933.9894744187304,2903.931622355586
COLUSA,,10000.0,6078.227376730886,5202.356281156881,6335.492980417925,6484.689813979795
CONTRA COSTA,4043.8864405403733,2405.752004769659,1723.6284997623675,1134.2329487579907,923.2419679116007,847.9785723727857
DEL NORTE,10000.0,10000.0,3377.4817845319494,3083.010058183757,2622.696004214777,2541.551377259939
EL DORADO,5031.1451954853355,2581.1742740058435,1578.0345959110116,1263.868082469001,1217.398669352528,1182.2381887030147
FRESNO,10000.0,5005.674641845234,3186.837644008756,2106.500690917927,2954.312843411051,1288.6370374503824
HUMBOLDT,1404.2258245473727,761.8793847605033,608.432340330513,589.6713304202849,595.7202968562054,560.9877044074403
IMPERIAL,9499.611074839882,3948.092672368978,3119.051036112117,2134.902977012617,2949.6454920363444,2147.5031474534417
INYO,8986.903893342183,5415.3025895333585,5233.630395806295,4207.016949295573,3019.076068775157,2361.964250945036
KERN,10000.0,3541.845530572522,2773.8768333696685,2643.8279981889273,2878.729713849758,3094.564570007603
KINGS,,4743.269198575311,2239.9671811079643,2469.2460748899657,2523.1657649300796,2226.387928438463
LAKE,6804.829690058916,3626.435080947287,4234.954399278285,3468.501542055699,2117.9788296119964,1530.0799877380337
LASSEN,,10000.0,10000.0,10000.0,8893.725973455907,6679.131041658357
LOS ANGELES,276.78192351394455,101.91142919212957,83.33756018929681,77.1637748364555,61.99913744498754,68.92887188811186
MADERA,,,,,,10000.0
MARIN,4842.369499521643,3903.953273516788,4171.318454294544,4217.195227132911,4389.673189097754,4912.24698684125
MENDOCINO,1470.2240578888313,1224.126104185815,1044.0742679329462,918.0017417201881,932.8199852508368,938.8067372430588
MERCED,9000.18000705181,4419.737817079894,3599.474752861097,2902.3580770262274,2253.558909140457,2463.16388290465
MONO,4485.846806557651,4273.7962345800515,3145.302116302925,2988.12005539843,3325.1883691744047,3177.138195309787
MONTEREY,3135.4341794478505,1347.5109658450888,1055.336292133775,825.4795842082559,751.5939412795832,770.9873431310602
NAPA,10000.0,4183.420259972299,3278.890920588984,2341.9894709318887,1723.6880049106894,1443.9559948762005
NEVADA,7552.712423701453,6894.3226358995935,6653.609344418433,6340.558901551846,6288.527522412509,4203.784574920747
ORANGE,4215.009451229945,682.4291456940113,917.1231884029567,494.39222909385813,829.7512401191952,354.93316347087756
PLACER,,10000.0,10000.0,10000.0,10000.0,10000.0
RIVERSIDE,958.1956574353882,345.36536311760347,351.6257655331447,265.57582372982364,274.7034890742695,349.8605011992858
SACRAMENTO,1346.537696725981,299.82785103666873,275.46184930916377,284.5767713655228,265.9397612291201,283.4569321981927
SAN BENITO,10000.0,10000.0,9678.74859487314,10000.0,10000.0,10000.0
SAN BERNARDINO,4097.601737427146,1023.2940374897456,813.247095642756,1006.7610433516998,1066.8076819377302,1152.3005765489165
SAN DIEGO,1408.7452880604278,462.58589284643836,383.63240348140664,339.4152854546161,361.5926115352167,351.25862960295217
SAN FRANCISCO,836.5371490948936,427.02006510543833,398.27015500598463,330.62479244457325,292.31639412712343,288.53082165277584
SAN JOAQUIN,5963.238097933527,4724.801528169799,3370.9040000956993,2404.1223644944944,2137.28125930371,1508.7432371549091
SAN LUIS OBISPO,5845.708757806385,1968.534709120717,1372.1742937178367,1273.908685737736,1320.110557260022,1096.3866411271058
SAN MATEO,7537.685081841809,2214.087083450189,1453.5474248180244,1319.9021615062445,1126.7953336226656,1144.766214863599
SANTA BARBARA,3953.854221735581,1079.686543068705,929.0106937853343,828.7894954989519,707.2036025200229,718.8912445379726
SANTA CLARA,1644.8162204477587,933.9841410860829,857.7026591587978,947.0297855612154,1008.2540701780824,961.068342217476
SANTA CRUZ,1500.1116795059713,781.430825144201,757.5892898652568,675.8326608610255,682.1432517193496,751.4412904626043
SHASTA,3853.136806071715,1991.5999675902356,1653.7988604983875,1901.1138977695612,1814.8360312008047,1930.6542743892473
SISKIYOU,3531.6674502872766,2640.996090212246,2468.570164568895,2816.2465724770354,3032.0947797142076,2613.6662370568874
SOLANO,3352.946715740056,1145.886516903324,823.8828391598848,982.3525007027187,922.1847615985239,1120.4150982607425
SONOMA,2573.491815286811,1034.3339388494908,753.7338638544417,490.4328047272923,561.0135658061677,544.7436854988206
STANISLAUS,2576.9311931344405,944.773243832365,808.2911210514577,838.3802355852587,872.2227277097021,906.6585921813798
TEHAMA,,,,10000.0,8764.747778835654,5759.566855055447
TRINITY,,7045.283726695402,0.0,,10000.0,10000.0
TULARE,5566.68871858632,2564.332352903047,1821.7740707226053,1712.9408704464768,1123.4410517433753,1209.5786818786169
TUOLUMNE,10000.0,10000.0,6231.363508176717,5133.335092595921,5891.133887523891,5675.274325604163
VENTURA,2835.3718569799403,1479.4301750984223,1466.5800905463095,988.6281027248403,767.9072099204149,684.3613914431179
YOLO,4070.7141703339817,2329.393444723497,2495.313257299096,2390.5964581746016,2780.2562107835943,3116.7448034919953
YUBA,,7071.739754970116,5287.408124120391,5142.476891744395,5148.411635417811,5004.021327487209
